d,n1,Pb
112.0,54.0,1372.0
118.0,54.0,55.0
132.0,54.0,1400.0
140.0,54.0,56.0
112.0,1425.0,57.0
118.0,1425.0,1450.0
132.0,1425.0,58.0
140.0,1425.0,1473.0
112.0,59.0,1500.0
118.0,59.0,60.0
132.0,59.0,1524.0
140.0,59.0,61.0
112.0,1560.0,62.0
118.0,1560.0,1575.0
132.0,1560.0,62.0
140.0,1560.0,1.0
112.0,4.0,1583.0
118.0,4.0,63.0
132.0,4.0,1600.0
140.0,4.0,65.0
112.0,1650.0,66.0
118.0,1650.0,1676.0
132.0,1650.0,67.0
140.0,1650.0,1700.0
112.0,68.0,1727.0
118.0,68.0,69.0
132.0,68.0,1753.0
140.0,68.0,70.0
112.0,1778.0,71.0
118.0,1778.0,1798.0
132.0,1778.0,72.0
140.0,1778.0,1829.0
112.0,73.0,1854.0
118.0,73.0,74.0
132.0,73.0,1879.0
140.0,73.0,75.0
112.0,1900.0,76.0
118.0,1900.0,1930.0
132.0,1900.0,77.0
140.0,1900.0,1955.0
112.0,78.0,1978.0
118.0,78.0,79.0
132.0,78.0,2005.0
140.0,78.0,80.0
112.0,2032.0,81.0
118.0,2032.0,2057.0
132.0,2032.0,82.0
140.0,2032.0,2080.0
112.0,83.0,2108.0
118.0,83.0,83.0
132.0,83.0,1.0
140.0,83.0,2.0
112.0,2121.0,84.0
118.0,2121.0,2134.0
132.0,2121.0,85.0
140.0,2121.0,2159.0
112.0,86.0,2184.0
118.0,86.0,87.0
132.0,86.0,2208.0
140.0,86.0,88.0
112.0,2235.0,89.0
